	Contact me at shoelessinsight@gmail.com for questions/comments.																										
3		7,5,3,8,6,6,4,5,5,7,7,7,5,7,6,6,0,7,8,7,9,7,5,6,8,6,5,8,5,8,6,6,0,8,9,9,4,5,6,7,6,5,8,6,6,0,5,5,8,6,6,7,7,8,7,7,7,4,8,5,4,7,5,6,7,5,6,4,4,7,7,6,6,4,6,8,7,6,8,5,2,6,6,6,6,6,5,5,8,6,7,6,6,6,5,8,6,5,6,7,5,6,5,8,6,7,7,4,7,6,10,9,6,6,7,5,2,5,7,7,8,5,6,4,6,6,7,4,7,7,5,6,5,7,6,8,6,7,8,3,11,9,6,4,6,7,6,3,7,9,7,0,8,7,6,9,9,7,8,7,8,6,7,5,7,6,5,0,6,8,5,6,6,0,5,7,0,9,7,7,7,5,6,3,0,7,12,9,7,8,7,5,6,6,0,7,5,8,10,10,0,5,6,7,6,6,7,0,7,4,6,6,4,5,6,4,6,6,9,5,3,6,6,8,9,3,6,7,6,5,9,5,6,8,7,3,7,6,8,7,4,8,5,6,6,8,6,3,8,8,7,6,7,6,0,6,4,8,6,0,6,6,5,7,7,9,9,8,9,6,4,6,1,6,6,7,6,6		0	12	6.0	6	6	2.03	19,17,13,20,16,19,11,15,17,18,19,20,17,14,18,19,17,18,20,17,20,19,16,14,16,15,19,17,15,15,14,14,9 ,16,21,16,15,18,19,17,86,64,18,20,16,21,36,28,16,19,26,14,31,20,21,21,21,16,13,21,33,11,19,18,20,18,16,19,18,15,17,19,19,15,22,13,16,19,18,16,9 ,16,21,20,18,20,19,19,22,15,22,19,20,18,18,19,15,15,18,21,20,19,16,22,22,18,19,16,19,13,11,18,18,22,42,16,14,16,21,18,22,14,14,23,16,19,20,11,20,21,18,19,14,21,16,19,19,17,22,16,22,22,17,14,16,18,16,17,22,19,15,40,25,20,17,22,18,19,22,17,21,15,17,19,18,15,15,12,20,23,17,19,20,-,21,20,13,18,19,22,16,26,20,14,12,18,24,17,16,21,21,15,17,15,-,16,21,14,18,18,-,17,17,20,16,17,17,-,16,13,13,16,17,17,16,17,19,15,15,9 ,14,19,16,21,20,17,18,19,18,15,18,18,18,9,18,15,20,20,20,43,21,35,16,14,18,18,92,12,22,18,17,16,-,16,-,15,13,19,17,-,15,16,17,17,18,17,18,19,19,15,15,20,20,15,15,19,22,15		9	92	18.8	18	19	7.94	7 ,3,1,7,5,7 ,-1,5,7 ,7,9 ,9,4,2,6 ,8 ,8,6,8,7,7,6,4,4 ,7,6,7,7,5,1,4,2 ,4,8,8,2,4 ,5,6,5,50,42,8,6,5 ,10,25,16,3,7,14,1,19,8,8,8,10,2 ,4,9,17,2,5,6,7,5,6 ,6 ,4,4,8,7,6 ,4,8 ,4,5,4,7,5,4,3,8 ,8,8,8,7 ,7 ,10,4,9,8 ,8 ,6,7 ,7,4 ,5 ,8 ,9,7,8,5,12,10,8,5 ,4,9,5,5,5 ,4 ,8,25,5 ,2 ,5,9,6,10,7 ,3,9,6 ,5,7 ,4 ,8,9,5,6,3,9,5,7,6,5 ,10,5,13,9,6,4,6,4,6,3,9 ,8 ,5,23,11,9 ,6,6,9,5,6,7,6,6,7,5,7,4,3,-2,8,8,7 ,8,8,-,7,6 ,8,7,7,9,5,16,7,0,1,9,6,6,5,8 ,9,5,6,1,-,6,7,1,0,0,-,5,5,7,3,6,6,-,7,2,0,6 ,4,5,4,4,5,5 ,5,1,5 ,5 ,3,7,5,3,6 ,5,6 ,1,3,6,8,-2,8 ,5,7,8,9,33,6,21,2,1,4,9 ,65,3,9,7,2 ,4 ,-,4,-,6 ,4,9,5,-,6,4,4,6,7 ,6,7,8,8,2,4,8 ,8,5,5,7,7,6 		-2	65	6.9	6	5	6.25		3
4		7,7,10,8,8,7,0,7,7,8,8,8,8,0,3,9,8,10,5,7,4,10,7,8,6,9,7,7,0,0,8,5,6,7,7,8,6,11,10,0,9,11,7,6,0,0,0,9,6,0,6,0,6,7,0,6,7,10,7,8,6,4,7,7,6,8,5,8,6,9,7,10,10,8,3,7,8,8,6,4,5,7,5,8,7,9,10,9,11,7,7,7,8,8,7,9,7,6,7,7,7,6,6,9,6,6,8,6,7,11,9,10,8,0,5,7,8,7,11,6,7,8,5,0,8,7,7,0,8,6,5,8,5,8,8,10,5,9,0,7,0,5,6,6,9,6,6,7,9,8,12,8,3,9,9,7,7,11,4,10,0,6,6,10,9,9,10,9,5,7,10,8,7,8,8,8,8,6,9,10,0,0,0,8,3,11,8,9,9,9,6,7,8,8,10,6,0,11,8,8,6,8,11,9,0,8,5,8,9,6,8,7,6,0,8,7,10,6,11,6,7,6,5,7,7,10,9,10,9,7,7,0,5,7,4,8,9,0,8,8,5,9,8,10,10,0,9,9,10,5,8,9,5,8,7,7,7,9,7,9,8,4		0	12	6.8	7	7	2.80	18,17,22,19,17,17,17,35,17,29,21,21,18,16,14,17,17,22,16,21,15,22,15,20,17,24,19,17,-,-,20,15,19,19,18,23,22,22,23,-,18,26,16,19,19,23,-,19,19,21,14,-,11,32,20,35,50,17,33,14,31,5,9 ,20,15,38,17,28,12,21,17,21,21,20,14,17,22,17,13,15,15,21,18,20,19,20,26,21,26,19,19,21,20,20,20,22,20,21,19,17,21,17,11,24,17,18,21,17,20,18,25,15,23,21,18,20,18,21,24,21,17,20,10,22,17,22,22,-,19,18,17,18,17,20,19,22,18,21,-,18,23,12,13,11,22,18,14,19,20,12,23,21,17,16,21,21,21,23,12,20,21,16,16,17,18,18,23,22,20,20,25,19,19,21,21,22,24,19,21,22,10,11,10,15,14,22,20,21,24,18,18,18,18,18,20,23,9,23,21,21,15,23,19,23,-,23,22,19,24,15,20,14,18,-,16,19,19,18,17,17,37,16,42,15,15,3,33,16,20,11,20,17,17,21,16,21,21,-,18,18,15,20,18,20,21,-,17,19,22,17,23,22,17,22,16,17,20,22,20,18,21,17		3	50	19.4	19	17	5.13	6,7,10,7,6,6,6,21,4,18,9,9,5,4,3,2,5,10,5,10,3,12,5,10,6 ,11,6,5,-,-,7,5,6,5,7,7 ,5,10,11,-,8,13,7,6,7,3,-,6,8 ,7,2,-,6 ,22,6,22,38,5,20,3,18,-5,1,8,5,28,7 ,15,2,9,5,10,9 ,7 ,2,8,10,4,8,4,5,8 ,5,8,7,9,12,9 ,11,5,9,7 ,10,10,9,10,9,8,6,5,9,5,6 ,12,4,6,9,6,9 ,4,11,2,9,8,3,10,8,7,12,10,6,6,3,9,8,9,9,-,7,5 ,5 ,6 ,5,6,6,9,5,11,-,9 ,11,-1,0,6,4,6,8 ,6,9,0,10,8,5,3 ,5,9,9,11,6 ,9,11,6 ,6,3,7,9,11,9 ,5,8 ,11,8 ,9 ,10,10,10,12,8 ,8,10,0,1,-3,-1,2 ,10,10,9,11,5 ,6,9,8,8,8,6,4,12,10,8,6,10,4,9,-,7,11,6,9,2,10,4,6,-,10,7,10,6,7,4,25,5 ,27,6,4,-2,23,4 ,5,2,7,6,3,9,4,10,7,-,6,6,5,8,5,7,6,-,8,7,10,4,10,9,7,9,6,5,9,11,9 ,5,10,4		-5	38	7.6	7	6	4.69		4
5		12,10,10,0,10,0,10,10,0,8,8,7,10,10,11,10,0,10,7,7,4,8,10,9,7,11,9,11,11,8,6,11,11,11,8,10,8,7,11,8,10,10,7,11,9,6,11,8,11,10,8,10,12,10,12,9,12,0,7,10,9,3,7,12,10,10,7,9,12,10,10,0,5,8,9,9,5,10,10,10,10,8,10,9,9,11,12,9,8,9,11,11,9,8,10,7,9,9,7,8,8,0,9,13,8,9,11,9,7,11,8,10,11,14,13,9,9,11,11,6,10,9,9,0,0,14,14,12,13,12,13,11,12,13,11,12,10,9,9,8,10,9,10,0,0,9,14,7,8,8,9,10,8,4,9,9,10,5,8,13,10,13,11,2,6,10,0,9,8,8,8,11,0,8,9,10,10,10,8,11,8,10,3,10,9,10,11,10,9,7,10,9,7,0,8,11,10,10,14,12,9,10,5,8,8,10,10,8,6,9,9,0,0,0,10,10,9,6,9,8,0,0,9		0	14	8.5	9	10	3.26	22,24,17,21,22,19,22,24,-,21,21,10,18,19,22,19,22,24,20,19,18,23,21,19,21,25,20,21,22,23,19,23,23,22,18,24,23,21,25,18,18,23,18,20,22,19,22,52,17,14,23,29,14,51,13,39,20,12,27,18,12,16,19,24,23,24,20,20,25,21,23,-,17,20,21,21,14,21,22,22,22,16,22,21,23,23,25,22,20,22,24,24,25,20,24,16,20,16,25,22,21,21,15,24,24,20,20,22,18,25,19,22,29,27,25,18,20,21,22,11,25,20,23,-,19,31,25,27,31,25,29,22,25,28,23,27,23,19,18,20,24,21,24,22,26,24,23,23,20,22,22,21,19,17,23,20,22,12,24,24,24,28,25,19,21,25,19,24,20,20,19,21,21,22,19,24,24,24,22,23,22,23,14,22,19,21,22,26,20,19,22,24,19,-,24,23,9 ,41,57,2 ,34,17,32,19,20,23,22,19,18,19,19,12,-,24,26,23,27,21,18,18,22,24,20		2	57	21.9	22	22	5.70	13,12,7,9,11,9,10,13,-,10,10,3,7,10,10,5,7,10,9,8 ,4 ,10,11,4,7,13,10,8,13,9,6,11,9 ,8,6,12,10,5,12,7,8,10,6,11,9,4,13,34,5,1,12,17,1,26,1,22,8,-1,12,4,2,5,7 ,14,11,10,6,9,13,9,12,-,7 ,8,9,9,6,11,6,10,12,4,11,10,11,10,13,11,10,11,12,12,13,10,12,3 ,6 ,11,7,10,8,9,9,13,7,5,11,10,7,13,9,10,15,18,13,9,11,10,10,6,14,7,3,-,6,13,16,11,12,14,12,13,14,12,13,14,12,9,4,8,12,9,14,9,9,11,13,7,8,10,11,9,7,4,11,6,11,7 ,12,14,12,16,12,7,6 ,12,7,11,6,6,8 ,6,9 ,10,9 ,10,10,10,12,12,10,10,2,10,8,9,8,12,8,9,10,11,7,-,12,12,4 ,30,49,-3,21,5,21,8,8,10,12,8,6,7,7,4,-,9,12,12,12,6,6,6,8,9,9		-3	49	9.8	10	10	5.05		5
6		12,14,14,13,11,7,10,13,8,12,7,12,9,12,0,16,6,8,10,0,9,10,10,4,0,11,12,11,12,10,11,12,11,13,11,11,12,10,0,0,14,12,11,13,13,13,7,11,10,15,12,8,17,12,16,12,7,10,12,7,12,12,13,10,13,12,17,12,11,11,12,13,10,10,5,13,12,13,12,0,11,11,11,12,11,12,10,12,11,12,11,0,13,14,0,9,13,11,0,10,15,15,9,12,0,10,7,9,11,10,13,16,0,10,9,7,10,7,14,12,13,13,8,13,9,11,12,9,11,13,10,12,6,0,13,12,0,0,10,9,12,10,9,14,10,11,11,12,11,11,11,11,11,10,12,12,11,11,11,13,12,10,10,0,7,8,7,11,0,7,12,8,11,10,12,0,12,13,11,11,3,12,11,9,10,10,7,11,7,16,11,10,12,13,14,11,10,13,10,14,10,11,11		0	17	10.1	11	11	3.74	27,23,27,26,23,23,22,26,22,23,22,26,26,34,-,31,21,23,24,-,20,19,32,-,26,22,25,27,24,23,23,23,20,27,23,24,24,21,19,31,29,24,21,26,25,20,30,23,40,18,34,81,35,42,26,23,28,25,23,17,22,24,25,17,25,24,30,29,21,24,27,27,11,25,12,25,21,24,25,-,24,20,24,24,9,28,25,25,25,26,26,12,28,25,-,28,25,23,28,22,29,29,21,26,23,22,24,20,24,21,27,28,-,22,19,14,19,24,26,23,24,25,20,23,15,25,23,23,24,26,25,25,17,23,27,29,21,22,24,23,24,9,23,26,19,22,24,25,27,23,22,27,24,23,26,22,25,22,26,25,21,22,18,-,19,20,-,22,18,18,38,24,24,33,46,14,13,29,25,21,12,26,22,14,20,21,20,20,16,35,23,24,25,22,26,21,23,26,20,25,22,23,23		9	81	24.0	24	23	6.46	14,14,17,15,13,13,10,14,8 ,12,7,11,9,17,-,17,8,7,10,-,10,9,9,-,12,10,14,15,12,11,12,13,10,14,11,13,14,8,6,17,16,14,11,15,14,8,17,12,27,7 ,20,43,21,33,12,15,14,13,14,7 ,13,13,13,1,15,14,18,16,11,12,14,17,-1 ,12,7,14,12,15,10,-,13,10,13,14,-3,14,12,12,13,11,15,5,16,13,-,8 ,15,10,14,7,11,11,11,11,10,12,9,9 ,11,10,14,11,-,10,7,9,7,8 ,9 ,13,13,12,10,13,4,13,13,11,13,13,10,13,5,7,17,12,10,10,10,11,12,-5,11,13,6,12,13,14,15,11,11,14,13,14,14,14,10,12,13,14,10,10,9,-,7,6,-,10,7,4,24,15,12,18,36,2,3,16,12,10,7,14,11,9 ,8,10,7,7,11,26,11,11,12,13,16,9,12,12,10,13,10,11,11		-5	43	11.9	12	13	5.17		6
7		15,12,10,11,15,12,14,13,0,12,7,14,13,8,12,6,9,14,13,13,15,9,13,14,0,12,13,15,13,13,12,14,10,15,13,13,15,13,14,14,13,0,0,0,8,12,16,14,9,13,16,13,9,13,13,13,13,9,6,17,9,12,14,15,16,14,14,14,17,13,11,13,0,13,14,15,17,17,15,16,15,16,14,7,15,16,15,10,13,12,12,14,14,15,10,14,13,16,0,0,15,15,14,9,11,11,10,14,10,9,18,0,15,11,14,14,14,2,12,14,16,10,6,14,15,0,14,12,0,14,13,13,13,0,0,11,14,14,11,11,13,13,13,11,12,15,18,16,15,10,14,13,14,16,13,13,11,11,13,13,10,13,0,13,14,15,12,9,0,12,11,15,13,15,10,11,0,12,13,12,13,12,15,12,14,14		0	18	11.7	13	13	4.29	26,28,24,26,28,17,11,32,20,24,18,26,23,17,25,22,23,26,22,28,27,18,28,29,27,25,30,-,25,23,25,28,26,27,24,20,23,11,30,29,26,-,29,17,21,17,13,25,28,30,30,24,26,26,24,26,26,22,22,31,23,24,29,30,27,33,28,25,30,28,24,25,-,31,24,28,38,30,34,38,33,36,27,22,33,36,34,27,27,25,26,25,26,26,26,31,29,30,22,26,31,30,21,16,27,18,20,28,18,20,25,28,24,22,28,27,31,15,25,29,29,27,26,31,31,21,27,22,21,25,25,31,28,-,30,21,28,28,25,29,26,29,36,27,27,29,29,28,27,21,27,26,28,31,26,26,24,22,27,59,26,21,24,21,28,27,24,23,26,22,22,26,27,31,28,22,24,22,26,26,24,24,26,25,27,24		11	59	26.0	26	26	5.08	14,14,13,13,14,7,-2,21,7,11,8,16,15,12,14,6,11,16,9,15,17,13,16,18,13,14,12,-,12,11,14,15,10,17,12,10,9,1,18,16,16,-,19,12,8,7,3,16,9,17,20,15,9 ,15,15,13,15,9 ,5,18,11,14,17,19,18,18,16,16,21,11,15,16,-,15,15,13,18,21,16,17,19,17,18,11,19,17,19,15,13,11,11,13,14,14,10,15,12,16,11,13,19,19,16,11,13,4 ,8,17,6,10,16,14,14,11,15,14,16,2,14,11,19,9,6,18,16,7,12,11,9,10,13,17,17,-,13,5,12,13,11,11,15,17,19,12,14,16,12,11,14,6,14,15,18,19,15,13,11,11,13,36,13,7,8,10,17,13,14,7,13,11,11,13,14,15,12,8,13,10,13,16,12,12,15,15,16,13		-2	36	13.3	13.5	13	4.32		7
8		13,16,16,16,15,0,11,15,16,0,16,15,18,16,14,9,11,14,15,12,16,18,10,0,17,17,8,16,13,13,18,14,15,0,12,14,18,10,17,15,16,15,15,16,10,0,10,15,11,17,13,15,16,9,8,9,17,16,13,15,15,14,15,15,16,16,17,17,14,10,14,14,0,14,11,14,17,0,17,10,17,17,13,16,15,14,13,16,15,13,16,0,14,14,15,16,15,13,12,13,14,14,16,14,15,15,13,15,11,15,14,13,0,14,15,17,0,0,16,17,14,16,15,5,16,13,13,17,15,0,14,14,13,16,17,2,0,13,16,16,16,14,0,14,11,16,17,17,17,17,15,10,13,14,17,10,14,13,16,9,16,12,11,13,13,17,13,10		0	18	13.0	14	16	4.63	26,31,32,25,30,30,25,27,30,26,30,29,33,27,28,21,21,28,29,23,32,32,21,22,33,32,15,20,12,29,26,36,32,92,71,33,22,28,13,17,17,31,30,32,22,31,28,31,24,30,27,26,28,21,27,25,30,30,27,25,29,28,34,29,27,31,31,31,26,24,27,28,22,29,24,29,30,-,31,24,35,35,24,30,39,27,22,27,27,27,32,32,27,26,29,29,30,25,25,28,27,26,31,26,30,29,24,29,24,29,17,35,31,29,25,24,-,11,24,30,27,28,26,19,27,26,24,33,32,27,30,29,30,31,34,25,-,27,33,30,25,28,22,14,17,42,32,29,67,14,35,23,27,27,30,17,25,27,30,30,31,22,21,25,26,26,26,27		11	92	28.0	28	27	8.37	15,17,16,15,17,15,12,12,18,13,20,18,18,15,15,8,11,16,19,12,19,20,9 ,9,15,24,1,5,4,17,17,20,18,54,47,24,9 ,13,1,3,4,17,15,23,8 ,14,11,19,11,20,15,17,17,6,8,9,19,18,15,19,19,16,23,16,18,19,18,21,16,11,16,18,11,18,11,14,19,-,18,10,16,16,12,16,31,14,6,15,15,17,16,18,16,15,16,20,14,17,11,13,11,16,18,9,15,19,15,17,13,15,6,15,19,16,17,9,-,2,15,18,18,19,14,7,17,15,14,19,19,17,15,17,15,18,21,17,-,13,18,18,15,16,11,1,5,26,21,20,43,3,23,10,12,13,20,12,14,15,16,16,15,12,11,13,15,14,15,10		1	54	15.4	15	15	6.63		8
9		17,19,20,16,16,18,18,16,14,14,11,9,14,14,14,13,14,0,18,16,15,16,17,17,18,17,18,11,13,16,15,16,18,17,16,17,16,18,16,13,17,20,13,18,14,19,16,14,15,15,16,14,17,15,14,21,21,19,18,20,20,20,18,20,20,20,15,10,8,19,16,16,0,16,16,19,17,20,5,16,15,5,15,17,17,21,17,14,16,19,11,16,16,8,15,10,21,16,20,13,13,11,17,19,16,16,18,18,19,16,17,17,0,20,15,15,10,12,17,14,11,20,15,18,19,0,18,15,12,20,12,0,19,8,15,15,13,18,15,0,13,14,15,16,17,15,14,13,14,14,16,15,17,17,17		0	21	15.2	16	16	4.28	29,22,32,31,30,30,30,29,27,31,32,26,27,25,31,26,28,26,32,30,28,28,31,30,35,30,30,17,14,30,30,23,20,30,57,32,32,12,28,13,37,31,23,29,27,33,29,29,25,30,31,31,27,29,26,43,34,41,29,43,39,41,31,39,42,40,28,23,28,31,28,29,29,28,29,34,32,31,24,35,30,23,29,34,34,35,32,25,30,32,24,26,25,23,27,22,35,28,33,27,26,30,29,31,31,27,32,37,35,30,33,26,28,35,32,28,27,30,31,35,18,37,31,23,12,13,16,54,6 ,39,17,-,39,24,26,30,27,34,28,26,31,30,28,29,29,27,27,26,26,27,30,28,34,34,40		6	57	29.4	29.5	30	6.66	19,12,22,18,20,16,16,12,18,14,13,9,15,15,16,13,16,13,19,19,15,20,18,19,18,17,20,12,0,12,15,8,6,17,38,18,22,0,15,2,21,24,15,20,14,18,14,14,16,16,23,18,21,16,15,22,25,22,19,21,24,21,22,24,22,24,14,10,15,21,16,18,13,18,16,15,19,20,5,18,15,13,17,19,19,24,21,13,20,21,13,17,16,12,15,9,23,16,21,13,14,12,19,21,18,17,19,25,19,17,19,15,13,22,15,19,12,14,19,18,13,24,16,10,0,3,4,26,-1 ,28,12,-,18,7,15,16,15,20,18,15,13,16,17,18,18,16,16,14,16,16,18,16,21,18,25		-1	38	16.5	16.5	16	5.47		9
10		21,0,0,19,19,20,21,17,19,17,19,20,13,22,12,10,19,18,15,20,16,17,18,17,0,20,19,14,25,0,18,20,17,0,18,21,22,17,16,21,20,17,19,21,17,16,19,15,16,29,21,21,20,16,13,17,11,0,20,19,12,17,18,17,16,17,17,18,19,20,20,19,15,14,20,0,0,0,14,18,19,0,20,10,15,18,14,17,15,0,0,18,18,18,0,19,0,0,23,18,21,16,20,17,10,0,18,15,17,20,11,20,13,16,16,19,17,19,19,21,7,17,21,13,19,21,11,19,18,17,17,17,16,15,15,0		0	29	15.3	17	17	6.51	37,-,35,31,32,32,34,31,34,30,34,34,22,40,24,17,30,36,36,34,32,26,38,32,15,21,22,23,49,30,33,37,28,-,32,31,37,31,35,36,35,30,26,34,29,26,39,32,32,40,40,40,33,34,31,30,9 ,35,37,34,31,39,30,30,27,33,30,34,37,33,31,32,27,27,36,29,26,25,24,31,32,31,32,37,37,34,28,35,28,-,33,31,32,32,33,34,29,27,38,30,38,47,34,34,24,26,34,27,30,35,28,33,28,29,17,15,40,22,-,70,24,32,35,28,36,37,25,30,30,30,29,30,28,28,29,32		9	70	31.5	32	32	6.64	24,-,15,20,21,21,23,17,23,21,19,21,9,30,11,14,21,21,19,16,18,16,23,19,2,9,9,14,34,17,21,24,19,-,17,22,26,19,18,25,24,17,15,22,19,18,26,18,24,31,20,20,22,18,15,19,4,21,22,21,12,21,19,19,16,21,15,22,26,22,22,22,19,15,24,16,12,11,18,20,21,15,20,15,15,20,9,19,13,-,14,20,18,18,13,20,13,13,30,17,22,25,22,21,11,15,18,18,19,24,12,21,15,18,6 ,2,31,10,-,50,9,10,25,13,23,29,11,20,19,19,18,19,17,17,17,17		2	50	18.6	19	19	6.13		10
11		21,20,23,20,22,22,25,19,0,26,20,0,18,17,21,23,18,18,15,22,18,19,24,22,18,18,14,17,20,18,18,25,26,23,25,24,24,22,24,24,24,19,21,13,18,0,20,18,20,17,0,0,16,17,17,15,17,19,19,21,15,22,18,24,22,15,12,24,0,22,20,23,22,20,16,15,20,22,16,22,14,13,19,18,22,0,20,22,19,22,14,15,19,23,0,23,23,19,23,22,22,22,23,19,0,18,0,16,21,18,18,18,19,20		0	26	18.1	19	22	6.36	33,33,35,34,36,33,36,34,35,41,34,33,34,23,36,33,23,23,46,38,35,28,35,37,35,30,30,15,25,-,25,49,39,46,48,44,47,35,44,47,45,34,34,30,37,35,34,31,33,44,34,29,28,24,30,29,29,33,35,36,28,33,30,42,33,29,27,41,-,40,34,35,35,37,32,31,35,36,33,34,29,31,36,29,33,34,33,36,36,34,31,33,35,38,36,36,35,35,43,33,38,38,41,39,23,35,23,28,12,31,32,31,31,33		12	49	33.9	34	33	6.13	22,22,25,25,26,23,21,18,21,28,22,22,18,11,25,24,18,18,26,26,20,18,22,26,22,20,14,3,12,-,12,27,30,26,25,28,26,26,28,26,28,19,22,19,26,19,24,21,22,33,17,20,18,19,19,14,19,18,23,25,19,23,19,32,22,14,14,24,-,26,22,24,24,21,17,17,20,24,18,22,16,17,21,19,24,19,24,26,23,24,18,19,22,26,18,27,27,21,31,24,25,25,29,25,10,23,13,19,3 ,20,22,20,20,21		3	33	21.4	22	22	5.06		11
12		21,21,22,22,16,0,19,19,23,23,20,21,16,20,0,0,18,19,19,23,25,25,21,21,19,15,24,0,21,22,0,25,25,22,0,20,25,27,21,19,21,24,18,23,20,20,21,22,23,0,23,5,18,20,24,23,0,0,22,0,18,20,21,21,21,21,21,21,14,25,21,0,20,16,18,23,23,0,19,21,19,21,17,20,23,19,0,19,20,21,0,21,13,20,20,19		0	27	17.5	20	21	7.78	34,35,35,35,34,41,40,34,39,42,35,45,32,33,35,32,29,34,35,36,45,39,33,22,13,24,21,21,26,20,21,45,45,37,24,35,41,40,31,36,35,38,37,40,36,35,34,34,38,32,36,25,30,33,36,36,33,30,34,34,31,39,38,39,36,36,36,36,29,40,40,25,33,32,29,45,43,35,37,39,37,37,27,38,43,62,4 ,21,23,35,39,32,26,32,33,33		4	62	34.0	35	35	7.48	23,25,24,25,16,30,23,23,25,31,24,36,19,19,23,12,20,21,21,25,29,25,22,8,1 ,13,15,5,13,8,9,24,24,22,13,24,28,30,22,26,23,27,18,30,22,20,23,23,27,18,22,5,19,22,25,25,19,17,23,13,20,21,22,21,23,23,23,23,14,32,23,15,22,16,13,25,31,22,16,22,23,23,16,28,30,45,-1,9,11,24,20,20,12,21,23,23		-1	45	20.8	22	23	7.10		12
13		25,23,22,22,22,22,24,23,36,27,20,20,21,26,38,0,17,20,20,20,0,20,25,19,42,36,20,20,23,22,0,16,12,20,19,0,25,17,28,18,20,24,23,24,24,31,24,22,22,16,24,25,23,21,23,21,0,25,30,23,20,20,16,22,27,21,27,0,23,22,39,19,20,21,22		0	42	21.3	22	20	8.09	42,36,36,35,35,36,39,37,61,43,33,43,37,40,48,25,43,37,36,31,22,24,31,41,55,59,35,35,37,36,31,31,27,34,34,36,47,38,39,41,36,41,36,37,38,43,38,40,35,33,38,38,41,38,38,41,38,39,43,39,33,43,45,35,42,37,40,60,39,40,60,48,31,32,36		22	61	38.6	38	36	7.30	29,26,26,24,26,26,28,26,40,30,22,27,25,25,42,15,33,28,24,21,9 ,10,19,24,46,40,24,24,26,26,20,18,14,24,20,21,33,19,30,18,28,13,26,26,28,34,24,19,23,16,28,28,25,16,23,29,27,27,32,27,22,24,32,21,30,25,26,50,24,26,43,35,21,22,26		9	50	25.8	26	26	7.35		13
14		25,25,24,23,23,28,14,0,23,23,29,0,23,28,0,0,22,25,21,28,25,0,25,23,22,24,23,28,19,22,26,25,22,24,25,26,23,24,23,23,24,29,26,25,27,0,24,24,0,29,24,25,0,0,17,22,27,28,24,20,26,23,10,23,24,22,21,23,0		0	29	20.3	23	23	8.90	38,39,37,37,38,41,36,37,36,38,43,35,45,26,28,18,39,37,42,41,41,-,49,35,39,39,40,41,40,44,39,39,40,39,49,41,47,48,42,38,45,41,39,39,39,43,37,38,38,48,39,41,73,11,35,38,41,41,39,37,46,24,26,40,41,50,39,37,39		11	73	39.2	39	39	7.62	28,29,27,27,27,32,16,23,27,31,33,18,31,10,8,8,23,29,24,32,27,-,41,25,22,26,27,32,23,25,29,29,22,28,27,30,26,28,27,24,25,31,29,29,30,25,21,27,23,37,26,24,57,-1,19,25,31,31,28,23,33,0,5 ,27,22,24,23,27,29		-1	57	25.5	27	27	8.45		14
15		27,26,26,27,28,30,30,31,26,25,23,24,19,22,0,24,23,29,27,0,0,24,29,22,19,25,24,0,0,25,0,29,0,26,24,27,0,0,16,0,0,24,21,29,18,20,31,29,25,28,21,27,0,30,27,28,28,0,26,24,25,26,21,21,23,26,25,27,26,29,27,25,24,25,0,22,22,0,24,0,28,0,0,0,27,26,26,24,29,0,25,24,24,0,29,27,25,24,22,27,0,0,0,20,23,29,28,26,25,25,31		0	31	19.9	24	0	10.78	52,48,40,40,44,43,44,44,45,44,45,40,40,47,46,42,49,48,34,41,39,37,42,38,15,17,45,35,39,49,41,41,37,68,39,40,37,40,22,41,41,44,38,45,38,33,48,47,55,45,41,42,42,53,43,41,42,42,44,42,39,37,39,37,44,40,42,41,43,54,51,39,50,41,35,47,40,41,51,26,38,39,44,44,52,44,49,43,45,37,64,17,51,64,31,53,40,84,57,71,43,28,27,50,43,42,42,42,49,42,44		15	84	42.9	42	42	9.37	35,34,30,30,31,33,34,34,26,25,30,24,24,22,29,32,39,31,17,26,23,21,26,25,5,5 ,28,21,23,41,28,30,25,34,27,31,23,26,9,26,26,31,25,33,19,24,35,37,41,32,23,28,31,33,29,31,32,23,27,25,28,26,21,29,27,30,33,31,29,31,28,25,32,24,22,29,30,21,34,11,28,25,23,21,31,26,26,26,29,23,46,5 ,25,55,19,40,25,62,27,54,20,13,11,36,31,32,32,30,33,27,35		5	62	28.0	28	31	8.53		15
16		25,24,32,31,34,30,32,33,28,23,23,0,23,0,23,35,27,31,24,25,25,28,26,26,30,21,23,0,43,26,27,0,0,29,33,0,28,27,26,33,0,24,25,25,30,23,32,29,28,24,21,32,33,33,34,20		0	43	24.4	26	0	10.15	43,39,45,45,47,47,49,45,53,41,41,-,44,48,39,55,43,50,40,49,51,46,40,44,53,28,43,44,69,45,44,41,46,43,55,37,41,43,43,57,40,42,32,48,44,44,44,43,45,38,42,47,45,46,46,40		28	69	44.8	44	43	6.08	32,27,35,35,38,39,40,36,36,23,25,-,25,24,24,39,28,39,28,33,26,36,25,29,38,10,25,26,59,34,34,27,22,33,37,22,29,34,34,49,26,32,20,33,30,31,35,33,36,24,29,34,36,37,37,28		10	59	31.6	33	36	7.42		16
